step,bee,action,claim_slot,claim_flower,battery_pct,load,status
8,2,0,0,-1,70.5,0.00,IDLE-SILENT
8,3,0,0,-1,43.9,7.50,OK
8,4,0,0,-1,64.9,6.67,OK
9,0,0,,,64.9,5.83,OK
9,1,0,0,-1,80.2,0.00,IDLE-SILENT
9,2,0,0,-1,70.4,0.00,IDLE-SILENT
9,3,0,,,43.8,7.50,OK
9,4,0,,,64.8,6.67,OK
10,0,0,,,64.8,5.83,OK
10,1,0,0,-1,80.1,0.00,IDLE-SILENT
10,2,0,0,-1,70.3,0.00,IDLE-SILENT
10,3,0,0,-1,43.7,7.50,OK
10,4,0,0,-1,64.7,6.67,OK
11,0,0,0,-1,64.7,5.83,OK
11,1,0,0,-1,80.0,0.00,IDLE-SILENT
11,2,0,0,-1,70.2,0.00,IDLE-SILENT
11,3,0,0,-1,43.6,7.50,OK
11,4,0,,,64.6,6.67,OK
12,0,0,0,-1,64.6,5.83,OK
12,1,0,0,-1,79.9,0.00,IDLE-SILENT
12,2,0,0,-1,70.1,0.00,IDLE-SILENT
12,3,0,0,-1,43.5,7.50,OK
12,4,0,,,64.5,6.67,OK
13,0,0,0,-1,64.5,5.83,OK
13,1,0,0,-1,79.8,0.00,IDLE-SILENT
13,2,0,,,70.0,0.00,IDLE-SILENT
13,3,0,0,-1,43.4,7.50,OK
13,4,0,,,64.4,6.67,OK
14,0,0,0,-1,64.4,5.83,OK
14,1,0,,,79.7,0.00,IDLE-SILENT
14,2,0,0,-1,69.9,0.00,IDLE-SILENT
14,3,0,0,-1,43.3,7.50,OK
14,4,0,,,64.3,6.67,OK
15,0,0,,,64.3,5.83,OK
15,1,0,0,-1,79.6,0.00,IDLE-SILENT
15,2,0,0,-1,69.8,0.00,IDLE-SILENT
15,3,0,,,43.2,7.50,OK
15,4,0,,,64.2,6.67,OK
16,0,0,0,-1,64.2,5.83,OK
16,1,0,0,-1,79.5,0.00,IDLE-SILENT
16,2,0,0,-1,69.7,0.00,IDLE-SILENT
16,3,0,0,-1,43.1,7.50,OK
16,4,0,,,64.1,6.67,OK
17,0,0,0,-1,64.1,5.83,OK
17,1,0,,,79.4,0.00,IDLE-SILENT
17,2,0,0,-1,69.6,0.00,IDLE-SILENT
17,3,0,0,-1,43.0,7.50,OK
17,4,0,,,64.0,6.67,OK
18,0,0,0,-1,64.0,5.83,OK
18,1,0,0,-1,79.3,0.00,IDLE-SILENT
18,2,0,0,-1,69.5,0.00,IDLE-SILENT
18,3,0,,,42.9,7.50,OK
18,4,0,0,-1,63.9,6.67,OK
19,0,0,0,-1,63.9,5.83,OK
19,1,0,0,-1,79.2,0.00,IDLE-SILENT
19,2,0,,,69.4,0.00,IDLE-SILENT
19,3,0,0,-1,42.8,7.50,OK
19,4,0,0,-1,63.8,6.67,OK
20,0,0,0,-1,63.8,5.83,OK
20,1,0,0,-1,79.1,0.00,IDLE-SILENT
20,2,0,0,-1,69.3,0.00,IDLE-SILENT
20,3,0,0,-1,42.7,7.50,OK
20,4,0,0,-1,63.7,6.67,OK
21,0,0,0,-1,63.7,5.83,OK
21,1,0,0,-1,79.0,0.00,IDLE-SILENT
21,2,0,0,-1,69.2,0.00,IDLE-SILENT
21,3,0,,,42.6,7.50,OK
21,4,0,0,-1,63.6,6.67,OK
22,0,0,,,63.6,5.83,OK
22,1,0,0,-1,78.9,0.00,IDLE-SILENT
22,2,0,,,69.1,0.00,IDLE-SILENT
22,3,0,0,-1,42.5,7.50,OK
22,4,0,,,63.5,6.67,OK
23,0,0,0,-1,63.5,5.83,OK
23,1,0,0,-1,78.8,0.00,IDLE-SILENT
23,2,0,0,-1,69.0,0.00,IDLE-SILENT
23,3,0,0,-1,42.4,7.50,OK
23,4,0,0,-1,63.4,6.67,OK
24,0,0,0,-1,63.4,5.83,OK
24,1,0,0,-1,78.7,0.00,IDLE-SILENT
24,2,0,0,-1,68.9,0.00,IDLE-SILENT
24,3,0,0,-1,42.3,7.50,OK
24,4,0,,,63.3,6.67,OK
25,0,0,1,-1,63.3,5.83,OK
25,1,0,0,-1,78.6,0.00,IDLE-SILENT
25,2,0,,,68.8,0.00,IDLE-SILENT
25,3,0,0,-1,42.2,7.50,OK
25,4,0,0,-1,63.2,6.67,OK
26,0,0,0,-1,63.2,5.83,OK
26,1,0,,,78.5,0.00,IDLE-SILENT
26,2,0,0,-1,68.7,0.00,IDLE-SILENT
26,3,0,,,42.1,7.50,OK
26,4,0,0,-1,63.1,6.67,OK
27,0,0,,,63.1,5.83,OK
27,1,0,0,-1,78.4,0.00,IDLE-SILENT
27,2,0,0,-1,68.6,0.00,IDLE-SILENT
27,3,0,0,-1,42.0,7.50,OK
27,4,0,0,-1,63.0,6.67,OK
28,0,0,,,63.0,5.83,OK
28,1,0,0,-1,78.3,0.00,IDLE-SILENT
28,2,0,0,-1,68.5,0.00,IDLE-SILENT
28,3,0,0,-1,41.9,7.50,OK
28,4,0,0,-1,62.9,6.67,OK
29,0,0,,,62.9,5.83,OK
29,1,0,0,-1,78.2,0.00,IDLE-SILENT
29,2,0,1,-1,68.4,0.00,IDLE-SILENT
29,3,0,0,-1,41.8,7.50,OK
29,4,0,,,62.8,6.67,OK
30,0,0,0,2,62.8,5.83,OK
30,1,0,,,78.1,0.00,IDLE-SILENT
30,2,0,0,2,68.3,0.00,IDLE-SILENT
30,3,0,,,41.7,7.50,OK
30,4,0,0,2,62.7,6.67,OK
31,0,0,0,2,62.7,5.83,OK
31,1,0,0,2,78.0,0.00,SILENT,IDLE-SILENT
31,2,0,0,2,68.2,0.00,SILENT,IDLE-SILENT
31,3,0,1,11,41.6,7.50,SILENT
31,4,0,0,2,62.6,6.67,OK
32,0,0,0,2,62.6,5.83,OK
32,1,0,0,2,77.9,0.00,SILENT,IDLE-SILENT
32,2,0,,,68.1,0.00,SILENT,IDLE-SILENT
32,3,0,0,2,41.5,7.50,SILENT
32,4,0,,,62.5,6.67,OK
33,0,0,0,3,62.5,5.83,OK
33,1,1,1,6,77.8,2.50,OK
33,2,1,,,68.0,0.00,IDLE-SILENT
33,3,0,0,3,41.4,7.50,SILENT
33,4,0,0,3,62.4,6.67,OK
34,0,0,0,6,62.4,5.83,OK
34,1,1,0,6,77.7,3.33,OK
34,2,0,0,6,67.9,0.00,IDLE-SILENT
34,3,0,,,41.3,7.50,SILENT
34,4,0,,,62.3,6.67,SILENT
35,0,1,0,-1,62.3,9.17,OK
35,1,0,,,77.6,3.33,OK
35,2,0,,,67.8,0.00,IDLE-SILENT
35,3,0,,,41.2,7.50,SILENT
35,4,0,0,-1,62.2,6.67,SILENT
36,0,0,0,-1,62.2,9.17,OK
36,1,0,0,-1,77.5,3.33,OK
36,2,0,,,67.7,0.00,IDLE-SILENT
36,3,0,0,-1,41.1,7.50,SILENT
36,4,0,0,-1,62.1,6.67,SILENT
37,0,2,,,62.1,0.00,IDLE-SILENT
37,1,0,1,-1,77.4,3.33,OK
37,2,0,0,-1,67.6,0.00,IDLE-SILENT
37,3,0,,,41.0,7.50,SILENT
37,4,0,0,-1,62.0,6.67,SILENT
38,0,0,0,-1,62.0,0.00,IDLE-SILENT
38,1,0,,,77.3,3.33,OK
38,2,0,0,-1,67.5,0.00,IDLE-SILENT
38,3,0,,,40.9,7.50,SILENT
38,4,0,0,-1,61.9,6.67,SILENT
39,0,0,0,-1,61.9,0.00,IDLE-SILENT
39,1,0,0,-1,77.2,3.33,OK
39,2,0,0,-1,67.4,0.00,IDLE-SILENT
39,3,0,0,-1,40.8,7.50,SILENT
39,4,0,,,61.8,6.67,SILENT
40,0,1,0,-1,61.8,9.17,OK
40,1,0,,,77.1,3.33,OK
40,2,0,,,67.3,0.00,IDLE-SILENT
40,3,0,0,-1,40.7,7.50,SILENT
40,4,0,0,-1,61.7,6.67,SILENT
41,0,2,0,-1,61.7,0.00,IDLE-SILENT
41,1,0,0,-1,77.0,3.33,OK
41,2,0,0,-1,67.2,0.00,IDLE-SILENT
41,3,0,0,-1,40.6,7.50,SILENT
41,4,0,0,-1,61.6,6.67,SILENT
42,0,0,,,61.6,0.00,IDLE-SILENT
42,1,0,0,-1,76.9,3.33,OK
42,2,0,0,-1,67.1,0.00,IDLE-SILENT
42,3,0,,,40.5,7.50,SILENT
42,4,0,,,61.5,6.67,SILENT
43,0,0,,,61.5,0.00,IDLE-SILENT
43,1,0,0,-1,76.8,3.33,OK
43,2,0,0,-1,67.0,0.00,IDLE-SILENT
43,3,0,,,40.4,7.50,SILENT
43,4,0,0,-1,61.4,6.67,SILENT
44,0,0,,,61.4,0.00,IDLE-SILENT
44,1,0,0,-1,76.7,3.33,OK
44,2,0,,,66.9,0.00,IDLE-SILENT
44,3,0,1,-1,40.3,7.50,SILENT
44,4,0,0,-1,61.3,6.67,SILENT
45,0,0,0,-1,61.3,0.00,IDLE-SILENT
45,1,0,0,-1,76.6,3.33,OK
45,2,0,0,-1,66.8,0.00,IDLE-SILENT
45,3,0,0,-1,40.2,7.50,SILENT
45,4,0,,,61.2,6.67,SILENT
46,0,0,1,-1,61.2,0.00,IDLE-SILENT
46,1,0,1,-1,76.5,3.33,OK
46,2,0,0,-1,66.7,0.00,IDLE-SILENT
46,3,0,0,-1,40.1,7.50,SILENT
46,4,0,0,-1,61.1,6.67,SILENT
47,0,0,,,61.1,0.00,IDLE-SILENT
47,1,0,0,-1,76.4,3.33,OK
47,2,0,,,66.6,0.00,IDLE-SILENT
47,3,0,0,-1,40.0,7.50,SILENT
47,4,0,0,-1,61.0,6.67,SILENT
48,0,0,0,-1,61.0,0.00,IDLE-SILENT
48,1,0,0,-1,76.3,3.33,OK
48,2,0,0,-1,66.5,0.00,IDLE-SILENT
48,3,0,,,39.9,7.50,SILENT
48,4,0,0,-1,60.9,6.67,SILENT
49,0,0,0,-1,60.9,0.00,IDLE-SILENT
49,1,0,0,-1,76.2,3.33,OK
49,2,0,,,66.4,0.00,IDLE-SILENT
49,3,0,0,-1,39.8,7.50,SILENT
49,4,0,0,-1,60.8,6.67,SILENT
50,0,0,0,-1,60.8,0.00,IDLE-SILENT
50,1,0,0,-1,76.1,3.33,OK
50,2,0,0,-1,66.3,0.00,IDLE-SILENT
50,3,0,0,-1,39.7,7.50,SILENT
50,4,0,,,60.7,6.67,SILENT
51,0,0,0,-1,60.7,0.00,IDLE-SILENT
51,1,0,0,-1,76.0,3.33,OK
51,2,0,,,66.2,0.00,IDLE-SILENT
51,3,0,0,-1,39.6,7.50,SILENT
51,4,0,,,60.6,6.67,SILENT
52,0,0,0,-1,60.6,0.00,IDLE-SILENT
52,1,0,0,-1,75.9,3.33,OK
52,2,0,0,-1,66.1,0.00,IDLE-SILENT
52,3,0,0,-1,39.5,7.50,SILENT
52,4,0,0,-1,60.5,6.67,SILENT
53,0,0,,,60.5,0.00,IDLE-SILENT
53,1,0,0,-1,75.8,3.33,OK
53,2,0,,,66.0,0.00,IDLE-SILENT
53,3,0,,,39.4,7.50,SILENT
53,4,0,0,-1,60.4,6.67,SILENT
54,0,0,,,60.4,0.00,IDLE-SILENT
54,1,0,,,75.7,3.33,OK
54,2,0,0,-1,65.9,0.00,IDLE-SILENT
54,3,0,0,-1,39.3,7.50,SILENT
54,4,0,0,-1,60.3,6.67,SILENT
55,0,0,,,60.3,0.00,IDLE-SILENT
55,1,0,0,-1,75.6,3.33,OK
55,2,0,0,-1,65.8,0.00,IDLE-SILENT
55,3,0,0,-1,39.2,7.50,SILENT
55,4,0,,,60.2,6.67,SILENT
56,0,0,0,-1,60.2,0.00,IDLE-SILENT
56,1,0,0,-1,75.5,3.33,OK
56,2,0,0,-1,65.7,0.00,IDLE-SILENT
56,3,0,0,-1,39.1,7.50,SILENT
56,4,0,0,-1,60.1,6.67,SILENT
57,0,0,,,60.1,0.00,IDLE-SILENT
57,1,0,0,-1,75.4,3.33,OK
57,2,0,0,-1,65.6,0.00,IDLE-SILENT
57,3,0,0,-1,39.0,7.50,SILENT
57,4,0,,,60.0,6.67,SILENT
58,0,0,,,60.0,0.00,IDLE-SILENT
58,1,0,0,-1,75.3,3.33,OK
58,2,0,,,65.5,0.00,IDLE-SILENT
58,3,0,,,38.9,7.50,SILENT
58,4,0,,,59.9,6.67,SILENT
1,0,0,0,-1,52.2,0.00,IDLE-SILENT
1,1,0,0,-1,89.0,0.00,IDLE-SILENT
1,2,0,0,-1,43.8,0.00,IDLE-SILENT
1,3,0,0,-1,91.0,0.00,IDLE-SILENT
1,4,0,0,-1,52.4,0.00,IDLE-SILENT
2,0,0,0,-1,52.1,0.00,IDLE-SILENT
2,1,0,0,-1,88.9,0.00,IDLE-SILENT
2,2,0,0,-1,43.7,0.00,IDLE-SILENT
2,3,0,0,-1,90.9,0.00,IDLE-SILENT
2,4,0,0,-1,52.3,0.00,IDLE-SILENT
3,0,0,0,-1,52.0,0.00,IDLE-SILENT
3,1,0,0,-1,88.8,0.00,IDLE-SILENT
3,2,0,0,-1,43.6,0.00,IDLE-SILENT
3,3,0,0,-1,90.8,0.00,IDLE-SILENT
3,4,0,0,-1,52.2,0.00,IDLE-SILENT
4,0,0,0,-1,51.9,0.00,IDLE-SILENT
4,1,0,0,-1,88.7,0.00,IDLE-SILENT
4,2,0,0,-1,43.5,0.00,IDLE-SILENT
4,3,0,0,-1,90.7,0.00,IDLE-SILENT
4,4,0,0,-1,52.1,0.00,IDLE-SILENT
5,0,0,0,-1,51.8,0.00,IDLE-SILENT
5,1,0,0,-1,88.6,0.00,IDLE-SILENT
5,2,0,0,-1,43.4,0.00,IDLE-SILENT
5,3,0,0,-1,90.6,0.00,IDLE-SILENT
5,4,0,0,-1,52.0,0.00,IDLE-SILENT
6,0,0,0,-1,51.7,0.00,IDLE-SILENT
6,1,0,0,-1,88.5,0.00,IDLE-SILENT
6,2,0,0,-1,43.3,0.00,IDLE-SILENT
6,3,0,0,-1,90.5,0.00,IDLE-SILENT
6,4,0,0,-1,51.9,0.00,IDLE-SILENT
7,0,0,0,-1,51.6,0.00,IDLE-SILENT
7,1,0,0,-1,88.4,0.00,IDLE-SILENT
7,2,0,0,-1,43.2,0.00,IDLE-SILENT
7,3,0,0,-1,90.4,0.00,IDLE-SILENT
7,4,0,0,-1,51.8,0.00,IDLE-SILENT
8,0,0,0,-1,51.5,0.00,IDLE-SILENT
8,1,0,0,-1,88.3,0.00,IDLE-SILENT
8,2,0,0,-1,43.1,0.00,IDLE-SILENT
8,3,0,0,-1,90.3,0.00,IDLE-SILENT
8,4,0,0,-1,51.7,0.00,IDLE-SILENT
9,0,0,0,-1,51.4,0.00,IDLE-SILENT
9,1,0,0,-1,88.2,0.00,IDLE-SILENT
9,2,0,0,-1,43.0,0.00,IDLE-SILENT
9,3,0,0,-1,90.2,0.00,IDLE-SILENT
9,4,0,0,-1,51.6,0.00,IDLE-SILENT
10,0,0,0,-1,51.3,0.00,IDLE-SILENT
10,1,0,0,-1,88.1,0.00,IDLE-SILENT
10,2,0,0,-1,42.9,0.00,IDLE-SILENT
10,3,0,0,-1,90.1,0.00,IDLE-SILENT
10,4,0,0,-1,51.5,0.00,IDLE-SILENT
11,0,0,0,-1,51.2,0.00,IDLE-SILENT
11,1,0,0,-1,88.0,0.00,IDLE-SILENT
11,2,0,0,-1,42.8,0.00,IDLE-SILENT
11,3,0,0,-1,90.0,0.00,IDLE-SILENT
11,4,0,0,-1,51.4,0.00,IDLE-SILENT
12,0,0,0,-1,51.1,0.00,IDLE-SILENT
12,1,0,0,-1,87.9,0.00,IDLE-SILENT
12,2,0,0,-1,42.7,0.00,IDLE-SILENT
12,3,0,0,-1,89.9,0.00,IDLE-SILENT
12,4,0,0,-1,51.3,0.00,IDLE-SILENT
13,0,0,0,-1,51.0,0.00,IDLE-SILENT
13,1,0,0,-1,87.8,0.00,IDLE-SILENT
13,2,0,0,-1,42.6,0.00,IDLE-SILENT
13,3,0,0,-1,89.8,0.00,IDLE-SILENT
13,4,0,0,-1,51.2,0.00,IDLE-SILENT
14,0,0,0,-1,50.9,0.00,IDLE-SILENT
14,1,0,0,-1,87.7,0.00,IDLE-SILENT
14,2,0,0,-1,42.5,0.00,IDLE-SILENT
14,3,0,0,-1,89.7,0.00,IDLE-SILENT
14,4,0,0,-1,51.1,0.00,IDLE-SILENT
15,0,0,0,-1,50.8,0.00,IDLE-SILENT
15,1,0,0,-1,87.6,0.00,IDLE-SILENT
15,2,0,0,-1,42.4,0.00,IDLE-SILENT
15,3,0,0,-1,89.6,0.00,IDLE-SILENT
15,4,0,0,-1,51.0,0.00,IDLE-SILENT
16,0,0,0,-1,50.7,0.00,IDLE-SILENT
16,1,0,0,-1,87.5,0.00,IDLE-SILENT
16,2,0,0,-1,42.3,0.00,IDLE-SILENT
16,3,0,0,-1,89.5,0.00,IDLE-SILENT
16,4,0,0,-1,50.9,0.00,IDLE-SILENT
17,0,0,0,-1,50.6,0.00,IDLE-SILENT
17,1,0,0,-1,87.4,0.00,IDLE-SILENT
17,2,0,0,-1,42.2,0.00,IDLE-SILENT
17,3,0,0,-1,89.4,0.00,IDLE-SILENT
17,4,0,0,-1,50.8,0.00,IDLE-SILENT
18,0,0,0,-1,50.5,0.00,IDLE-SILENT
18,1,0,0,-1,87.3,0.00,IDLE-SILENT
18,2,0,0,-1,42.1,0.00,IDLE-SILENT
18,3,0,0,-1,89.3,0.00,IDLE-SILENT
18,4,0,0,-1,50.7,0.00,IDLE-SILENT
19,0,0,0,-1,50.4,0.00,IDLE-SILENT
19,1,0,0,-1,87.2,0.00,IDLE-SILENT
19,2,0,0,-1,42.0,0.00,IDLE-SILENT
19,3,0,0,-1,89.2,0.00,IDLE-SILENT
19,4,0,0,-1,50.6,0.00,IDLE-SILENT
20,0,0,0,-1,50.3,0.00,IDLE-SILENT
20,1,0,0,-1,87.1,0.00,IDLE-SILENT
20,2,0,0,-1,41.9,0.00,IDLE-SILENT
20,3,0,0,-1,89.1,0.00,IDLE-SILENT
20,4,0,0,-1,50.5,0.00,IDLE-SILENT
21,0,0,0,-1,50.2,0.00,IDLE-SILENT
21,1,0,0,-1,87.0,0.00,IDLE-SILENT
21,2,0,0,-1,41.8,0.00,IDLE-SILENT
21,3,0,0,-1,89.0,0.00,IDLE-SILENT
21,4,0,0,-1,50.4,0.00,IDLE-SILENT
22,0,0,0,-1,50.1,0.00,IDLE-SILENT
22,1,0,0,-1,86.9,0.00,IDLE-SILENT
22,2,0,0,-1,41.7,0.00,IDLE-SILENT
22,3,0,0,-1,88.9,0.00,IDLE-SILENT
22,4,0,0,-1,50.3,0.00,IDLE-SILENT
23,0,0,0,-1,50.0,0.00,IDLE-SILENT
23,1,0,0,-1,86.8,0.00,IDLE-SILENT
23,2,0,0,-1,41.6,0.00,IDLE-SILENT
23,3,0,0,-1,88.8,0.00,IDLE-SILENT
23,4,0,0,-1,50.2,0.00,IDLE-SILENT
24,0,0,0,-1,49.9,0.00,IDLE-SILENT
24,1,0,0,-1,86.7,0.00,IDLE-SILENT
24,2,0,0,-1,41.5,0.00,IDLE-SILENT
24,3,0,0,-1,88.7,0.00,IDLE-SILENT
24,4,0,0,-1,50.1,0.00,IDLE-SILENT
25,0,0,0,-1,49.8,0.00,IDLE-SILENT
25,1,0,0,-1,86.6,0.00,IDLE-SILENT
25,2,0,0,-1,41.4,0.00,IDLE-SILENT
25,3,0,0,-1,88.6,0.00,IDLE-SILENT
25,4,0,0,-1,50.0,0.00,IDLE-SILENT
26,0,0,0,-1,49.7,0.00,IDLE-SILENT
26,1,0,0,-1,86.5,0.00,IDLE-SILENT
26,2,0,0,-1,41.3,0.00,IDLE-SILENT
26,3,0,0,-1,88.5,0.00,IDLE-SILENT
26,4,0,0,-1,49.9,0.00,IDLE-SILENT
27,0,0,0,-1,49.6,0.00,IDLE-SILENT
27,1,0,0,-1,86.4,0.00,IDLE-SILENT
27,2,0,0,-1,41.2,0.00,IDLE-SILENT
27,3,0,0,-1,88.4,0.00,IDLE-SILENT
27,4,0,0,-1,49.8,0.00,IDLE-SILENT
28,0,0,0,-1,49.5,0.00,IDLE-SILENT
28,1,0,0,-1,86.3,0.00,IDLE-SILENT
28,2,0,0,-1,41.1,0.00,IDLE-SILENT
28,3,0,0,-1,88.3,0.00,IDLE-SILENT
28,4,0,0,-1,49.7,0.00,IDLE-SILENT
29,0,0,0,-1,49.4,0.00,IDLE-SILENT
29,1,0,0,-1,86.2,0.00,IDLE-SILENT
29,2,0,0,-1,41.0,0.00,IDLE-SILENT
29,3,0,0,-1,88.2,0.00,IDLE-SILENT
29,4,0,0,-1,49.6,0.00,IDLE-SILENT
30,0,0,0,4,49.3,0.00,IDLE-SILENT
30,1,0,0,4,86.1,0.00,IDLE-SILENT
30,2,0,0,4,40.9,0.00,IDLE-SILENT
30,3,0,0,4,88.1,0.00,IDLE-SILENT
30,4,0,0,4,49.5,0.00,IDLE-SILENT
31,0,0,0,4,49.2,0.00,SILENT,IDLE-SILENT
31,1,0,0,4,86.0,0.00,SILENT,IDLE-SILENT
31,2,0,0,4,40.8,0.00,SILENT,IDLE-SILENT
31,3,0,0,4,88.0,0.00,SILENT,IDLE-SILENT
31,4,0,0,4,49.4,0.00,SILENT,IDLE-SILENT
32,0,0,0,4,49.1,0.00,SILENT,IDLE-SILENT
32,1,0,0,4,85.9,0.00,SILENT,IDLE-SILENT
32,2,0,0,4,40.7,0.00,SILENT,IDLE-SILENT
32,3,0,0,4,87.9,0.00,SILENT,IDLE-SILENT
32,4,0,0,4,49.3,0.00,SILENT,IDLE-SILENT
33,0,0,0,4,49.0,0.00,SILENT,IDLE-SILENT
33,1,0,0,4,85.8,0.00,SILENT,IDLE-SILENT
33,2,0,0,4,40.6,0.00,SILENT,IDLE-SILENT
33,3,0,0,4,87.8,0.00,SILENT,IDLE-SILENT
33,4,0,0,4,49.2,0.00,SILENT,IDLE-SILENT
34,0,0,0,4,48.9,0.00,SILENT,IDLE-SILENT
34,1,0,0,4,85.7,0.00,SILENT,IDLE-SILENT
34,2,0,0,4,40.5,0.00,SILENT,IDLE-SILENT
34,3,0,0,4,87.7,0.00,SILENT,IDLE-SILENT
34,4,0,0,4,49.1,0.00,SILENT,IDLE-SILENT
35,0,0,0,4,48.8,0.00,SILENT,IDLE-SILENT
35,1,0,0,4,85.6,0.00,SILENT,IDLE-SILENT
35,2,0,0,4,40.4,0.00,SILENT,IDLE-SILENT
35,3,0,0,4,87.6,0.00,SILENT,IDLE-SILENT
35,4,0,0,4,49.0,0.00,SILENT,IDLE-SILENT
36,0,0,0,4,48.7,0.00,SILENT,IDLE-SILENT
36,1,0,0,4,85.5,0.00,SILENT,IDLE-SILENT
36,2,0,0,4,40.3,0.00,SILENT,IDLE-SILENT
36,3,0,0,4,87.5,0.00,SILENT,IDLE-SILENT
36,4,0,0,4,48.9,0.00,SILENT,IDLE-SILENT
37,0,0,0,4,48.6,0.00,SILENT,IDLE-SILENT
37,1,0,0,4,85.4,0.00,SILENT,IDLE-SILENT
37,2,0,0,4,40.2,0.00,SILENT,IDLE-SILENT
37,3,0,0,4,87.4,0.00,SILENT,IDLE-SILENT
37,4,0,0,4,48.8,0.00,SILENT,IDLE-SILENT
38,0,0,0,4,48.5,0.00,SILENT,IDLE-SILENT
38,1,0,0,4,85.3,0.00,SILENT,IDLE-SILENT
38,2,0,0,4,40.1,0.00,SILENT,IDLE-SILENT
38,3,0,0,4,87.3,0.00,SILENT,IDLE-SILENT
38,4,0,0,4,48.7,0.00,SILENT,IDLE-SILENT
39,0,0,0,4,48.4,0.00,SILENT,IDLE-SILENT
39,1,0,0,4,85.2,0.00,SILENT,IDLE-SILENT
39,2,0,0,4,40.0,0.00,SILENT,IDLE-SILENT
39,3,0,0,4,87.2,0.00,SILENT,IDLE-SILENT
39,4,0,0,4,48.6,0.00,SILENT,IDLE-SILENT
40,0,0,0,4,48.3,0.00,SILENT,IDLE-SILENT
40,1,0,0,4,85.1,0.00,SILENT,IDLE-SILENT
40,2,0,0,4,39.9,0.00,SILENT,IDLE-SILENT
40,3,0,0,4,87.1,0.00,SILENT,IDLE-SILENT
40,4,0,0,4,48.5,0.00,SILENT,IDLE-SILENT
41,0,0,0,4,48.2,0.00,SILENT,IDLE-SILENT
41,1,0,0,4,85.0,0.00,SILENT,IDLE-SILENT
41,2,0,0,4,39.8,0.00,SILENT,IDLE-SILENT
41,3,0,0,4,87.0,0.00,SILENT,IDLE-SILENT
41,4,0,0,4,48.4,0.00,SILENT,IDLE-SILENT
42,0,0,0,4,48.1,0.00,SILENT,IDLE-SILENT
42,1,0,0,4,84.9,0.00,SILENT,IDLE-SILENT
42,2,0,0,4,39.7,0.00,SILENT,IDLE-SILENT
42,3,0,0,4,86.9,0.00,SILENT,IDLE-SILENT
42,4,0,0,4,48.3,0.00,SILENT,IDLE-SILENT
43,0,0,0,4,48.0,0.00,SILENT,IDLE-SILENT
43,1,0,0,4,84.8,0.00,SILENT,IDLE-SILENT
43,2,0,0,4,39.6,0.00,SILENT,IDLE-SILENT
43,3,0,0,4,86.8,0.00,SILENT,IDLE-SILENT
43,4,0,0,4,48.2,0.00,SILENT,IDLE-SILENT
44,0,0,0,4,47.9,0.00,SILENT,IDLE-SILENT
44,1,0,0,4,84.7,0.00,SILENT,IDLE-SILENT
44,2,0,0,4,39.5,0.00,SILENT,IDLE-SILENT
44,3,0,0,4,86.7,0.00,SILENT,IDLE-SILENT
44,4,0,0,4,48.1,0.00,SILENT,IDLE-SILENT
45,0,0,0,4,47.8,0.00,SILENT,IDLE-SILENT
45,1,0,0,4,84.6,0.00,SILENT,IDLE-SILENT
45,2,0,0,4,39.4,0.00,SILENT,IDLE-SILENT
45,3,0,0,4,86.6,0.00,SILENT,IDLE-SILENT
45,4,0,0,4,48.0,0.00,SILENT,IDLE-SILENT
46,0,0,0,4,47.7,0.00,SILENT,IDLE-SILENT
